triangle_pos,triangle_color,pink_circle_pos,trials24.thisRepN,trials24.thisTrialN,trials24.thisN,trials24.thisIndex,thisRow.t,notes,trial.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0.1875, 0.1875)",p,0.0,0,0,0,17,0.07050162498489954,,0.04967512498842552,0.07050162498489954,0.07050162498489954,0.07050162498489954,0.07050162498489954,0.07050162498489954,0.07050162498489954,0.07050162498489954,0.07050162498489954,0.053374917013570666,4.271419041004265,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,1,1,10,4.291003708000062,,4.280089165986283,4.291003708000062,4.291003708000062,4.291003708000062,4.291003708000062,4.291003708000062,4.291003708000062,4.291003708000062,4.291003708000062,0.004337291000410914,4.737874290993204,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,2,2,15,4.752234790998045,,4.738625500001945,4.752234790998045,4.752234790998045,4.752234790998045,4.752234790998045,4.752234790998045,4.752234790998045,4.752234790998045,4.752234790998045,0.00458554201759398,5.088373999984469,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.1875, 0.1875)",g,0.0,0,3,3,1,5.101988915994298,,5.089124749996699,5.101988915994298,5.101988915994298,5.101988915994298,5.101988915994298,5.101988915994298,5.101988915994298,5.101988915994298,5.101988915994298,0.004624624998541549,5.338685208000243,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,4,4,11,5.35326179099502,,5.339420790987788,5.35326179099502,5.35326179099502,5.35326179099502,5.35326179099502,5.35326179099502,5.35326179099502,5.35326179099502,5.35326179099502,0.004535874992143363,5.621461749979062,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,5,5,13,5.635807499988005,,5.622195000003558,5.635807499988005,5.635807499988005,5.635807499988005,5.635807499988005,5.635807499988005,5.635807499988005,5.635807499988005,5.635807499988005,0.0044781669857911766,5.904885541007388,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0, -0.25)",p,0.0,0,6,6,20,5.918937165988609,,5.905634958005976,5.918937165988609,5.918937165988609,5.918937165988609,5.918937165988609,5.918937165988609,5.918937165988609,5.918937165988609,5.918937165988609,0.004636291996575892,6.137935957987793,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.25, 0)",p,0.0,0,7,7,18,6.152116582990857,,6.1386920000077225,6.152116582990857,6.152116582990857,6.152116582990857,6.152116582990857,6.152116582990857,6.152116582990857,6.152116582990857,6.152116582990857,0.004616125021129847,6.405604415980633,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0, 0.25)",p,0.0,0,8,8,16,6.419294374994934,,6.406336040992755,6.419294374994934,6.419294374994934,6.419294374994934,6.419294374994934,6.419294374994934,6.419294374994934,6.419294374994934,6.419294374994934,0.004440499993506819,6.654609916004119,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,9,9,14,6.669262165989494,,6.655349374981597,6.669262165989494,6.669262165989494,6.669262165989494,6.669262165989494,6.669262165989494,6.669262165989494,6.669262165989494,6.669262165989494,0.0046410830109380186,6.904960749991005,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
