triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.007935833011288196,0.028099958028178662,1.9939229169976898,2.7974895000224933,space,0.768721166998148,None,,,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0, -0.25)",p,0.0,0,0,0,20,2.8455596250132658,,,,,,,,,2.8133127500186674,6.108677125012036,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,1,1,13,6.118910583027173,,,,,,,,,6.108839042019099,7.380342125019524,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.25, 0)",g,0.0,0,2,2,2,7.3871725420467556,,,,,,,,,7.380490458046552,8.647820500016678,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0, 0.25)",g,0.0,0,3,3,0,8.654348958050832,,,,,,,,,8.647967875003815,9.91561545804143,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.1875, -0.1875)",p,0.0,0,4,4,19,9.92215037503047,,,,,,,,,9.915764958015643,11.18324470805237,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(-0.25, 0)",p,0.0,0,5,5,22,11.1898659170256,,,,,,,,,11.183394583000336,12.450883083045483,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.1875, 0.1875)",p,0.0,0,6,6,17,12.457303458009847,,,,,,,,,12.451030167052522,13.718085083004553,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0, -0.25)",g,0.0,0,7,7,4,13.724629583011847,,,,,,,,,13.718231000006199,15.986275375005789,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.1875, 0.1875)",g,0.0,0,8,8,1,15.993713125004433,,,,,,,,,15.986424083006568,17.255356875015423,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.1875, -0.1875)",g,0.0,0,9,9,3,17.261992708023172,,,,,,,,,17.255511708033737,19.062355458037928,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.25, 0)",p,0.0,0,10,10,18,19.069057000044268,,,,,,,,,19.062506000045687,20.330019250046462,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(-0.1875, -0.1875)",p,0.0,0,11,11,21,20.33664241700899,,,,,,,,,20.330170208006166,21.597771708038636,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,12,12,11,21.604494208004326,,,,,,,,,21.597925500012934,22.865484625042882,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,13,13,14,22.872105417016428,,,,,,,,,22.865632708009798,24.133160458004568,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
"(0, 0.25)",p,0.0,0,14,14,16,24.139746250002645,,,,,,,,,24.133306542003993,25.40099958301289,,,030844,001,2024-05-05_23h19.26.845,creatingimagesNEW,2024.1.4,None,2024-05-05 23h19.33.203351 -0400,
