triangle_pos,triangle_color,pink_circle_pos,blue_circle_pos,red_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Real_Trials.started,Real_Trials.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.06528187499498017,0.07950933399843052,1.9995092089957325,5.152079499996034,space,3.1442053750070045,None,,,,,,,,,,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
,,,,,,,,,,,,,,,,,,,,,,5.152254583998001,5.179226166990702,6.148081042003469,9.611172000004444,space,3.4570180419977987,None,,,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.1875, -0.1875)",r,0.0,0.0,,0,0,0,4,,,,,9.726541416996042,,,,,,,,,,,,,,,,9.705673959004343,11.195175999993808,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.25, 0)",b,0.0,0.0,,0,1,1,15,,,,,11.204127624994726,,,,,,,,,,,,,,,,11.19535641699622,12.166608583997004,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.25, 0)",r,0.0,0.0,,0,2,2,5,,,,,12.17321137500403,,,,,,,,,,,,,,,,12.166761959000723,13.135541750001721,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.1875, 0.1875)",b,0.0,"(-0.1875, -0.1875)",,0,3,3,19,,,,,13.143189374997746,,,,,,,,,,,,,,,,13.135838458998478,14.00503783399472,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.25, 0)",r,0.0,0.0,,0,4,4,11,,,,,14.011627416999545,,,,,,,,,,,,,,,,14.00521483400371,14.87402570899576,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.1875, -0.1875)",g,0.0,"(-0.1875, 0.1875) ",,0,5,5,13,,,,,14.881473250003182,,,,,,,,,,,,,,,,14.874453166994499,16.512536209003883,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.1875, 0.1875)",b,0.0,0.0,,0,6,6,16,,,,,16.52048074999766,,,,,,,,,,,,,,,,16.51277154199488,17.582010083991918,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.1875, 0.1875)",g,0.0,0.0,,0,7,7,1,,,,,17.588582833996043,,,,,,,,,,,,,,,,17.582175374991493,18.550470125002903,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0.0,,0,8,8,7,,,,,18.557910584000638,,,,,,,,,,,,,,,,18.550746291992255,19.521011999997427,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.25, 0)",b,0.0,"(0.1875, -0.1875)",,0,9,9,20,,,,,19.528364625002723,,,,,,,,,,,,,,,,19.521276749990648,20.38965808399371,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0, 0.25)",r,0.0,0.0,,0,10,10,9,,,,,20.396144375001313,,,,,,,,,,,,,,,,20.389815458998783,21.257905833990662,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.1875, -0.1875)",g,0.0,"(0.25, 0)",,0,11,11,12,,,,,21.264442375002545,,,,,,,,,,,,,,,,21.258057083992753,22.126223999992362,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.25, 0)",g,0.0,"(0.1875, 0.1875)",,0,12,12,14,,,,,22.133032124998863,,,,,,,,,,,,,,,,22.126401999994414,23.195238000000245,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.1875, 0.1875)",r,0.0,0.0,,0,13,13,10,,,,,23.203649834002135,,,,,,,,,,,,,,,,23.195505166993826,24.174149208993185,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0.0,,0,14,14,6,,,,,24.182223208990763,,,,,,,,,,,,,,,,24.174546583992196,25.144438542003627,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.1875, -0.1875)",r,0.0,0.0,,0,15,15,3,,,,,25.150911417003954,,,,,,,,,,,,,,,,25.144599167004344,26.31380208399787,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0.25, 0)",g,0.0,0.0,,0,16,16,2,,,,,26.32039787499525,,,,,,,,,,,,,,,,26.314021416998003,27.38295129199105,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(-0.25, 0)",b,0.0,0.0,,0,17,17,17,,,,,27.390538166990154,,,,,,,,,,,,,,,,27.383213249995606,28.356228459000704,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
"(0, 0.25)",g,0.0,0.0,,0,18,18,0,,,,,28.363133791994187,,,,,,,,,,,,,,,,28.356507000004058,29.22514858399518,,,,,,,,,,,,,,,,,046602,001,2024-05-11_23h49.09.598,creatingimagesNEW,2024.1.4,None,2024-05-11 23h49.16.785318 -0400,
