triangle_pos,triangle_color,pink_circle_pos,trials24.thisRepN,trials24.thisTrialN,trials24.thisN,trials24.thisIndex,thisRow.t,notes,trial.started,fixation.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,0,0,8,0.04226895800093189,,0.02464141699601896,0.04226895800093189,1.0066124580043834,1.0066124580043834,1.0066124580043834,1.0066124580043834,1.0066124580043834,1.0066124580043834,1.0066124580043834,1.0066124580043834,1.0064489580108784,1.042597374995239,6.1489141669881064,-0.023333333333333334,0.24,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.1875, -0.1875)",p,0.0,0,1,1,21,6.158495749987196,,6.150076582998736,6.158495749987196,7.156208417000016,7.156208417000016,7.156208417000016,7.156208417000016,7.156208417000016,7.156208417000016,7.156208417000016,7.156208417000016,1.006331417011097,7.156208417000016,8.399173791985959,-0.18333333333333332,-0.17444444444444446,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,2,2,11,8.40890212499653,,8.399913832981838,8.40890212499653,9.406201582984067,9.406201582984067,9.406201582984067,9.406201582984067,9.406201582984067,9.406201582984067,9.406201582984067,9.406201582984067,1.006473458983237,9.406201582984067,10.566131041996414,0.16777777777777778,-0.21222222222222223,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,3,3,12,10.575187999987975,,10.566928541986272,10.575187999987975,11.573164542001905,11.573164542001905,11.573164542001905,11.573164542001905,11.573164542001905,11.573164542001905,11.573164542001905,11.573164542001905,1.0064484999747947,11.573164542001905,12.41584045800846,0.008888888888888889,-0.27111111111111114,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,4,4,10,12.425596666987985,,12.416570957982913,12.425596666987985,13.422166000003926,13.422166000003926,13.422166000003926,13.422166000003926,13.422166000003926,13.422166000003926,13.422166000003926,13.422166000003926,1.0057815829932224,13.422166000003926,14.132676582987187,0.2388888888888889,-0.02,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.25, 0)",p,0.0,0,5,5,18,14.142392499983544,,14.133435458003078,14.142392499983544,15.13934095800505,15.13934095800505,15.13934095800505,15.13934095800505,15.13934095800505,15.13934095800505,15.13934095800505,15.13934095800505,1.0060872919857502,15.13934095800505,15.983052208001027,0.2677777777777778,-0.022222222222222223,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.25, 0)",g,0.0,0,6,6,6,15.992220082989661,,15.983802500006277,15.992220082989661,16.989807125006337,16.989807125006337,16.989807125006337,16.989807125006337,16.989807125006337,16.989807125006337,16.989807125006337,16.989807125006337,1.0061860830173828,16.989807125006337,17.666076458001044,-0.23222222222222222,-0.017777777777777778,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.1875, -0.1875)",p,0.0,0,7,7,19,17.6757684579934,,17.66682199999923,17.6757684579934,18.673488875007024,18.673488875007024,18.673488875007024,18.673488875007024,18.673488875007024,18.673488875007024,18.673488875007024,18.673488875007024,1.0068662090052385,18.673488875007024,19.33288691699272,0.19666666666666666,-0.19111111111111112,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.1875, 0.1875)",p,0.0,0,8,8,23,19.342657333007082,,19.333631249988684,19.342657333007082,20.340450041985605,20.340450041985605,20.340450041985605,20.340450041985605,20.340450041985605,20.340450041985605,20.340450041985605,20.340450041985605,1.0070347919827327,20.340450041985605,21.016405250004027,-0.15777777777777777,0.18222222222222223,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,9,9,13,21.025672707997728,,21.017146375001175,21.025672707997728,22.022146999981487,22.022146999981487,22.022146999981487,22.022146999981487,22.022146999981487,22.022146999981487,22.022146999981487,22.022146999981487,1.005184666981222,22.022146999981487,22.849826582998503,-0.16,-0.20777777777777778,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
