triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0.1875, 0.1875)",g,0.0,0,0,0,1,0.07056108300457709,,0.05476887500844896,0.07056108300457709,1.002079166995827,1.002079166995827,1.002079166995827,1.002079166995827,1.002079166995827,1.002079166995827,1.002079166995827,1.002079166995827,1.0018225829990115,1.071009542007232,6.747384582995437,0.1811111111111111,0.16111111111111112,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0, -0.25)",p,0.0,0,1,1,20,6.7568327500193845,,6.748259042011341,6.7568327500193845,7.7517629170033615,7.7517629170033615,7.7517629170033615,7.7517629170033615,7.7517629170033615,7.7517629170033615,7.7517629170033615,7.7517629170033615,1.0037192089948803,7.7614756250113714,8.611741041997448,-0.014444444444444444,-0.2633333333333333,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,2,2,14,8.62111675000051,,8.61237566699856,8.62111675000051,9.617902708007023,9.617902708007023,9.617902708007023,9.617902708007023,9.617902708007023,9.617902708007023,9.617902708007023,9.617902708007023,1.0057346250105184,9.617902708007023,10.695280458021443,-0.23,0.006666666666666667,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.25, 0)",p,0.0,0,3,3,18,10.720488999999361,,10.695913125004154,10.720488999999361,11.702123750001192,11.702123750001192,11.702123750001192,11.702123750001192,11.702123750001192,11.702123750001192,11.702123750001192,11.702123750001192,1.0064062500023283,11.737626750022173,12.8957781670033,0.23222222222222222,-0.023333333333333334,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.25, 0)",g,0.0,0,4,4,6,12.906640208006138,,12.896406458021374,12.906640208006138,13.90374266699655,13.90374266699655,13.90374266699655,13.90374266699655,13.90374266699655,13.90374266699655,13.90374266699655,13.90374266699655,1.0075203749875072,13.914225042011822,15.195268125011353,-0.2311111111111111,-0.015555555555555555,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0, 0.25)",g,0.0,0,5,5,0,15.204756542021642,,15.195883542008232,15.204756542021642,16.2017259169952,16.2017259169952,16.2017259169952,16.2017259169952,16.2017259169952,16.2017259169952,16.2017259169952,16.2017259169952,1.0060315830050968,16.2017259169952,17.02852441702271,-0.0022222222222222222,0.23555555555555555,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.25, 0)",p,0.0,0,6,6,22,17.037978792010108,,17.029144166997867,17.037978792010108,18.036489417019766,18.036489417019766,18.036489417019766,18.036489417019766,18.036489417019766,18.036489417019766,18.036489417019766,18.036489417019766,1.007558874989627,18.036489417019766,18.829475792008452,-0.24666666666666667,-0.015555555555555555,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.1875, -0.1875)",p,0.0,0,7,7,21,18.839358208002523,,18.83007604200975,18.839358208002523,19.836762457998702,19.836762457998702,19.836762457998702,19.836762457998702,19.836762457998702,19.836762457998702,19.836762457998702,19.836762457998702,1.0068760419962928,19.846994542022003,20.52906770800473,-0.17555555555555555,-0.19555555555555557,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,8,8,9,20.5543924170197,,20.52968658300233,20.5543924170197,21.537035500019556,21.537035500019556,21.537035500019556,21.537035500019556,21.537035500019556,21.537035500019556,21.537035500019556,21.537035500019556,1.0075355420121923,21.547342417004984,22.695787542004837,0.1988888888888889,0.17222222222222222,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,9,9,13,22.72103225000319,,22.69646816700697,22.72103225000319,23.70385200000601,23.70385200000601,23.70385200000601,23.70385200000601,23.70385200000601,23.70385200000601,23.70385200000601,23.70385200000601,1.0075757910090033,23.714002749999054,24.54591633300879,-0.18777777777777777,-0.16333333333333333,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
