triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.02271766704507172,0.03409337502671406,1.9889605000498705,3.1418166250223294,space,1.1493229580228217,None,,,,,,,,,,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
,,,,,,,,,,,,,,,,,,,,,,3.141867625003215,3.165947542001959,4.1400550420512445,4.917475667025428,space,0.7671941669541411,None,,,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",p,0.0,,,0,0,0,5,,,,,5.006316625047475,,,,,,,,,,,,,,,,4.988465625036042,6.072778083034791,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0, 0.25)",g,0.0,,,0,1,1,0,,,,,6.079186042014044,,,,,,,,,,,,,,,,6.072947375010699,7.041434375045355,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,2,2,7,,,,,7.047892417002004,,,,,,,,,,,,,,,,7.04159720800817,8.009940667019691,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,3,3,4,,,,,8.0163084170199,,,,,,,,,,,,,,,,8.010094917030074,8.977709500002675,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, 0.1875)",g,0.0,,,0,4,4,1,,,,,8.986662042036187,,,,,,,,,,,,,,,,8.977862792031374,9.848214042023756,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,5,5,8,,,,,9.854635167052038,,,,,,,,,,,,,,,,9.848368000006303,10.821673042024486,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,6,6,6,,,,,10.835148125013802,,,,,,,,,,,,,,,,10.822159292001743,12.197341125051025,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, -0.1875)",p,0.0,,,0,7,7,3,,,,,12.205348083050922,,,,,,,,,,,,,,,,12.197498458030168,13.767430208041333,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",g,0.0,,,0,8,8,2,,,,,13.776946416997816,,,,,,,,,,,,,,,,13.76761008304311,15.039112250029575,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,1,0,9,7,,,,,15.045872750051785,,,,,,,,,,,,,,,,15.039273000031244,16.208468249998987,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, 0.1875)",g,0.0,,,1,1,10,1,,,,,16.215163917047903,,,,,,,,,,,,,,,,16.20864516700385,17.376671250036452,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,1,2,11,6,,,,,17.383303667011205,,,,,,,,,,,,,,,,17.37682700000005,18.54525604203809,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, -0.1875)",p,0.0,,,1,3,12,3,,,,,18.551702167023905,,,,,,,,,,,,,,,,18.545408250007313,19.81354054203257,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0, 0.25)",g,0.0,,,1,4,13,0,,,,,19.820051125017926,,,,,,,,,,,,,,,,19.8136990829953,20.78161295800237,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, -0.1875)",p,0.0,,,1,5,14,4,,,,,20.788147875049617,,,,,,,,,,,,,,,,20.781766125001013,21.849815333029255,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,1,6,15,8,,,,,21.856583292013966,,,,,,,,,,,,,,,,21.849966583016794,23.518844500009436,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",g,0.0,,,1,7,16,2,,,,,23.528126457997132,,,,,,,,,,,,,,,,23.51900354202371,24.489927875052672,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",p,0.0,,,1,8,17,5,,,,,24.49620600003982,,,,,,,,,,,,,,,,24.49007875000825,25.258148958033416,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, -0.1875)",p,0.0,,,2,0,18,3,,,,,25.264670125034172,,,,,,,,,,,,,,,,25.25829862500541,26.22669391700765,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, 0.1875)",g,0.0,,,2,1,19,1,,,,,26.23312079202151,,,,,,,,,,,,,,,,26.22685175004881,27.094689375022426,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0, 0.25)",g,0.0,,,2,2,20,0,,,,,27.101351292047184,,,,,,,,,,,,,,,,27.094841417041607,27.962833625031635,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,2,3,21,7,,,,,27.96924125001533,,,,,,,,,,,,,,,,27.9629866250325,28.931122083042283,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",g,0.0,,,2,4,22,2,,,,,28.93749766703695,,,,,,,,,,,,,,,,28.93127820803784,29.999245042039547,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",p,0.0,,,2,5,23,5,,,,,30.005910792038776,,,,,,,,,,,,,,,,29.999397500010673,31.06807525001932,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,2,6,24,6,,,,,31.074638000049163,,,,,,,,,,,,,,,,31.068230667035095,32.23668570804875,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, -0.1875)",p,0.0,,,2,7,25,4,,,,,32.242953875043895,,,,,,,,,,,,,,,,32.23684241704177,33.2043126670178,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,2,8,26,8,,,,,33.21097166702384,,,,,,,,,,,,,,,,33.20446995802922,34.27253437502077,,,,,,,,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.27258762501879,34.27911637502257,35.26823837502161,35.47700691700447,space,0.17482899996684864,None,,,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, -0.1875)",r,,0.0,0.0,,,,,0,0,0,21,35.53762650000863,,,,,,,,,,,,,,,,,,,,,,,,,35.530860667000525,36.699783292016946,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",g,,"(0.1875, -0.1875)",0.0,,,,,0,1,1,14,36.70632050000131,,,,,,,,,,,,,,,,,,,,,,,,,36.699972708011046,38.06932075001532,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.25, 0)",b,,0.0,0.0,,,,,0,2,2,46,38.07603024999844,,,,,,,,,,,,,,,,,,,,,,,,,38.06948287499836,39.43837783305207,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0, 0.25)",b,,0.0,0.0,,,,,0,3,3,40,39.44508929201402,,,,,,,,,,,,,,,,,,,,,,,,,39.43853850004962,40.60735258302884,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.1875, 0.1875)",g,,"(0, -0.25)",0.0,,,,,0,4,4,9,40.61394516704604,,,,,,,,,,,,,,,,,,,,,,,,,40.60751279204851,41.77568341704318,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(-0.1875, 0.1875)",g,,0.0,0.0,,,,,0,5,5,7,41.78203779202886,,,,,,,,,,,,,,,,,,,,,,,,,41.77584362501511,42.84467316704104,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
"(0.25, 0)",r,,0.0,0.0,,,,,0,6,6,18,42.851275750028435,,,,,,,,,,,,,,,,,,,,,,,,,42.844836083007976,43.91339229204459,155680,001,2024-05-08_12h34.58.691,creatingimagesNEW,2024.1.4,None,2024-05-08 12h35.05.743796 -0400,
,,,,,,,,,,,,,43.92002350004623,,,,,,,,,,,,,,,,,,,,,,,,,43.913549292017706,,,,,,,,,
