thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,greencircle7_4.started,greentriangle_4.started,image1_4.stopped,image1_5.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,greencircle7_5.started,greentriangle_5.started,image1_5.stopped,image1_6.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_6.started,greentriangle_6.started,image1_6.stopped,image1_7.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_7.started,greentriangle_7.started,image1_7.stopped,image1_8.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_8.started,greentriangle_8.started,image1_8.stopped,image2_1.started,pinkcircle1_1.started,greencircle2_1.started,greencircle3_1.started,greencircle4_1.started,greencircle5_1.started,greencircle6_1.started,greencircle7_1.started,greencircle8_1.started,pinkcircle1_1.stopped,greencircle2_1.stopped,greencircle3_1.stopped,greencircle4_1.stopped,greencircle5_1.stopped,greencircle6_1.stopped,greencircle7_1.stopped,greencircle8_1.stopped,image2_1.stopped,image2_2.started,image2_2.stopped,image2_3.started,image2_3.stopped,image2_4.started,image2_4.stopped,image2_5.started,image2_5.stopped,image2_6.started,image2_6.stopped,image2_7.started,image2_7.stopped,image2_8.started,image2_8.stopped,image3_1.started,greencircle1_9.started,greencircle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_9.started,pinktriangle.started,image3_1.stopped,image3_2.started,greencircle1_10.started,greencircle2_10.started,greencircle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,greencircle7_10.started,greentriangle_9.started,image3_2.stopped,image3_3.started,greencircle1_11.started,greencircle2_11.started,greencircle3_11.started,greencircle4_11.started,greencircle5_11.started,greencircle6_11.started,greencircle7_11.started,greentriangle_10.started,image3_3.stopped,image3_4.started,greencircle1_12.started,greencircle2_12.started,greencircle3_12.started,greencircle4_12.started,greencircle5_12.started,greencircle6_12.started,greencircle7_12.started,greentriangle_11.started,image3_4.stopped,image3_5.started,greencircle1_13.started,greencircle2_13.started,greencircle3_13.started,greencircle4_13.started,greencircle5_13.started,greencircle6_13.started,greencircle7_13.started,greentriangle_12.started,image3_5.stopped,image3_6.started,greencircle1_14.started,greencircle2_14.started,greencircle3_14.started,greencircle4_14.started,greencircle5_14.started,greencircle6_14.started,greencircle7_14.started,greentriangle_13.started,image3_6.stopped,image3_7.started,greencircle1_15.started,greencircle2_15.started,greencircle3_15.started,greencircle4_15.started,greencircle5_15.started,greencircle6_15.started,greencircle7_15.started,greentriangle_14.started,image3_7.stopped,image3_8.started,greencircle1_16.started,greencircle2_16.started,greencircle3_16.started,greencircle4_16.started,greencircle5_16.started,greencircle6_16.started,greencircle7_16.started,greentriangle_15.started,image3_8.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.005206500005442649,0.022987600008491427,0.022987600008491427,4.229044399980921,space,4.223124999989523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,4.229088699998101,4.239726800005883,4.239726800005883,4.239726800005883,4.239726800005883,4.239726800005883,4.239726800005883,4.239726800005883,4.239726800005883,5.224270100006834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,5.224295799998799,5.240751200006343,5.240751200006343,5.240751200006343,5.240751200006343,5.240751200006343,5.240751200006343,5.240751200006343,5.240751200006343,6.208086300001014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.208122699987143,6.224590400001034,6.224590400001034,6.224590400001034,6.224590400001034,6.224590400001034,6.224590400001034,6.224590400001034,6.224590400001034,7.191577899997355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.191610999987461,7.2072718999988865,7.2072718999988865,7.2072718999988865,7.2072718999988865,7.2072718999988865,7.2072718999988865,7.2072718999988865,7.2072718999988865,8.17485619999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.174892799986992,8.19024329999229,8.19024329999229,8.19024329999229,8.19024329999229,8.19024329999229,8.19024329999229,8.19024329999229,8.19024329999229,9.158051400008844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.158085999981267,9.174410799983889,9.174410799983889,9.174410799983889,9.174410799983889,9.174410799983889,9.174410799983889,9.174410799983889,9.174410799983889,10.158133999997517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1581831999938,10.173798700008774,10.173798700008774,10.173798700008774,10.173798700008774,10.173798700008774,10.173798700008774,10.173798700008774,10.173798700008774,11.141386500006774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14141519999248,11.157184199983021,11.157184199983021,11.157184199983021,11.157184199983021,11.157184199983021,11.157184199983021,11.157184199983021,11.157184199983021,12.124795999989146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.124829299980775,12.14063750000787,12.14063750000787,12.14063750000787,12.14063750000787,12.14063750000787,12.14063750000787,12.14063750000787,12.14063750000787,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.140745599986985,13.124468900001375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172454,001,2024-04-30_15h57.18.713,searchArrayTrial,2024.1.1,None,2024-04-30 15h57.40.145055 -0400,
