triangle_pos,triangle_color,pink_circle_pos,blue_circle_pos,red_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Real_Trials.started,Real_Trials.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.06440925000060815,0.08195808301388752,1.9940407920075813,4.848213750010473,space,2.8501680830086116,None,,,,,,,,,,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
,,,,,,,,,,,,,,,,,,,,,,4.848384125012672,4.87470095801109,5.84833495800558,6.324483708012849,space,0.4702370000013616,None,,,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.1875, 0.1875)",g,0.0,0.0,,0,0,0,1,,,,,6.456937458002358,,,,,,,,,,,,,,,,6.438119542013737,7.4493930420139804,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0, 0.25)",g,0.0,0.0,,0,1,1,0,,,,,7.456415917011327,,,,,,,,,,,,,,,,7.449603542001569,8.319792667010915,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0, 0.25)",r,0.0,0.0,,0,2,2,9,,,,,8.327595083013875,,,,,,,,,,,,,,,,8.319981167005608,9.19168637500843,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.1875, -0.1875)",r,0.0,0.0,,0,3,3,3,,,,,9.198305292011355,,,,,,,,,,,,,,,,9.191875750009785,10.26114950000192,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.25, 0)",r,0.0,0.0,,0,4,4,5,,,,,10.268130292010028,,,,,,,,,,,,,,,,10.261319833007292,11.130669917009072,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.25, 0)",g,0.0,"(0.1875, 0.1875)",,0,5,5,14,,,,,11.137359708009171,,,,,,,,,,,,,,,,11.13083412501146,12.099875292013166,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.1875, 0.1875)",b,0.0,0.0,,0,6,6,16,,,,,12.106934667011956,,,,,,,,,,,,,,,,12.100073375011561,13.06980733301316,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.1875, 0.1875)",b,0.0,"(-0.1875, -0.1875)",,0,7,7,19,,,,,13.076669458008837,,,,,,,,,,,,,,,,13.070038375008153,14.044798125003581,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.1875, -0.1875)",g,0.0,"(0.25, 0)",,0,8,8,12,,,,,14.052132708005956,,,,,,,,,,,,,,,,14.044993333009188,15.115087917001802,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0, 0.25)",b,0.0,"(0, -0.25)",,0,9,9,18,,,,,15.122635250008898,,,,,,,,,,,,,,,,15.115301958008786,15.985273625003174,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0.0,,0,10,10,8,,,,,15.991867667005863,,,,,,,,,,,,,,,,15.98543954201159,17.055440083000576,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.25, 0)",g,0.0,0.0,,0,11,11,2,,,,,17.06229958300537,,,,,,,,,,,,,,,,17.05563266700483,17.92460020800354,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0.0,,0,12,12,6,,,,,17.933130458011874,,,,,,,,,,,,,,,,17.92477612500079,18.900272500002757,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.25, 0)",b,0.0,0.0,,0,13,13,17,,,,,18.906802250014152,,,,,,,,,,,,,,,,18.900442000012845,19.77318658301374,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.25, 0)",b,0.0,0.0,,0,14,14,15,,,,,19.782068792002974,,,,,,,,,,,,,,,,19.773352042000624,20.548793458001455,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.1875, 0.1875)",r,0.0,0.0,,0,15,15,10,,,,,20.555947458007722,,,,,,,,,,,,,,,,20.54901937500108,21.523871250014054,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.25, 0)",r,0.0,0.0,,0,16,16,11,,,,,21.53061416700075,,,,,,,,,,,,,,,,21.52404075000959,22.29292591700505,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.1875, -0.1875)",g,0.0,"(-0.1875, 0.1875) ",,0,17,17,13,,,,,22.29958279200946,,,,,,,,,,,,,,,,22.29311400000006,23.063169500004733,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.1875, -0.1875)",r,0.0,0.0,,0,18,18,4,,,,,23.069804792001378,,,,,,,,,,,,,,,,23.06335150000814,24.13233150000451,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(0.25, 0)",b,0.0,"(0.1875, -0.1875)",,0,19,19,20,,,,,24.139313208012027,,,,,,,,,,,,,,,,24.132514708006056,25.302962417001254,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0.0,,0,20,20,7,,,,,25.310058417002438,,,,,,,,,,,,,,,,25.30314845801331,26.172228875002475,,,,,,,,,,229554,001,2024-05-11_18h53.15.435,creatingimagesNEW,2024.1.4,None,2024-05-11 18h53.24.328061 -0400,
