triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,End_Text.stopped,End_Routine.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.01631239999551326,0.03458099998533726,0.03458099998533726,1.2870487999171019,space,1.2803402999415994,None,,,,,,,,,,,,,,,,,,,,,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0, -0.25)",g,0.0,0,0,0,4,1.3165682000108063,,,,,,,,,1.2931409999728203,1.3165682000108063,0.0087622000137344,2.3017549999058247,2.3017549999058247,2.3017549999058247,2.3017549999058247,2.3017549999058247,2.3017549999058247,2.3017549999058247,2.3017549999058247,2.3184972999151796,28.453828700003214,-0.009259259259259259,-0.2534722222222222,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.1875, -0.1875)",p,0.0,0,1,1,19,28.468979500001296,,,,,,,,,28.454619799973443,28.468979500001296,0.0026529000606387854,29.469129999983124,29.469129999983124,29.469129999983124,29.469129999983124,29.469129999983124,29.469129999983124,29.469129999983124,29.469129999983124,29.469129999983124,34.2869949999731,0.19791666666666666,-0.20717592592592593,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0, -0.25)",p,0.0,0,2,2,20,34.30285440001171,,,,,,,,,34.28749339992646,34.30285440001171,0.002707500010728836,35.286599799990654,35.286599799990654,35.286599799990654,35.286599799990654,35.286599799990654,35.286599799990654,35.286599799990654,35.286599799990654,35.30285089998506,37.23721199994907,0.018518518518518517,-0.26157407407407407,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.1875, 0.1875)",g,0.0,0,3,3,7,37.25343149993569,,,,,,,,,37.23776629997883,37.25343149993569,0.0026650000363588333,38.25322630000301,38.25322630000301,38.25322630000301,38.25322630000301,38.25322630000301,38.25322630000301,38.25322630000301,38.25322630000301,38.25322630000301,39.57062799995765,-0.1736111111111111,0.1423611111111111,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.1875, -0.1875)",g,0.0,0,4,4,3,39.58669909997843,,,,,,,,,39.57118219998665,39.58669909997843,0.0026736001018434763,40.570260599954054,40.570260599954054,40.570260599954054,40.570260599954054,40.570260599954054,40.570260599954054,40.570260599954054,40.570260599954054,40.58664080000017,41.721236799960025,0.19675925925925927,-0.1840277777777778,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,5,5,13,41.736452399985865,,,,,,,,,41.72172069991939,41.736452399985865,0.0030116999987512827,42.73757759993896,42.73757759993896,42.73757759993896,42.73757759993896,42.73757759993896,42.73757759993896,42.73757759993896,42.73757759993896,42.73757759993896,44.08751979994122,-0.1863425925925926,-0.21412037037037038,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.1875, 0.1875)",p,0.0,0,6,6,17,44.10322589997668,,,,,,,,,44.088057399960235,44.10322589997668,0.0027305000694468617,45.10340579994954,45.10340579994954,45.10340579994954,45.10340579994954,45.10340579994954,45.10340579994954,45.10340579994954,45.10340579994954,45.10340579994954,47.171938599902205,0.16319444444444445,0.1724537037037037,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.1875, 0.1875)",p,0.0,0,7,7,23,47.186633199919015,,,,,,,,,47.17281899997033,47.186633199919015,0.005775200086645782,48.18672809994314,48.18672809994314,48.18672809994314,48.18672809994314,48.18672809994314,48.18672809994314,48.18672809994314,48.18672809994314,48.18672809994314,49.254613199969754,-0.1909722222222222,0.17708333333333334,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.1875, 0.1875)",g,0.0,0,8,8,1,49.270121500012465,,,,,,,,,49.255127299926244,49.270121500012465,0.0026824999367818236,50.2700751000084,50.2700751000084,50.2700751000084,50.2700751000084,50.2700751000084,50.2700751000084,50.2700751000084,50.2700751000084,50.2700751000084,51.38788069994189,0.20833333333333334,0.15625,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0, 0.25)",g,0.0,0,9,9,0,51.40362220001407,,,,,,,,,51.38843219995033,51.40362220001407,0.002647400018759072,52.40358219994232,52.40358219994232,52.40358219994232,52.40358219994232,52.40358219994232,52.40358219994232,52.40358219994232,52.40358219994232,52.40358219994232,53.22159329999704,-0.005787037037037037,0.20601851851851852,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0, 0.25)",p,0.0,0,10,10,16,53.23690329992678,,,,,,,,,53.22214339999482,53.23690329992678,0.002638199948705733,54.2377237000037,54.2377237000037,54.2377237000037,54.2377237000037,54.2377237000037,54.2377237000037,54.2377237000037,54.2377237000037,54.2377237000037,55.00471479992848,-0.009259259259259259,0.2488425925925926,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.25, 0)",g,0.0,0,11,11,2,55.02048449998256,,,,,,,,,55.00526289991103,55.02048449998256,0.002657500095665455,56.02136749995407,56.02136749995407,56.02136749995407,56.02136749995407,56.02136749995407,56.02136749995407,56.02136749995407,56.02136749995407,56.02136749995407,57.171656299964525,0.25925925925925924,0.0023148148148148147,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,12,12,9,57.18723149993457,,,,,,,,,57.1721908999607,57.18723149993457,0.002599300001747906,58.187323199934326,58.187323199934326,58.187323199934326,58.187323199934326,58.187323199934326,58.187323199934326,58.187323199934326,58.187323199934326,58.187323199934326,59.28835990000516,0.1875,0.1712962962962963,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.25, 0)",g,0.0,0,13,13,6,59.30415099998936,,,,,,,,,59.289161399938166,59.30415099998936,0.004664500011131167,60.30398460000288,60.30398460000288,60.30398460000288,60.30398460000288,60.30398460000288,60.30398460000288,60.30398460000288,60.30398460000288,60.30398460000288,61.73807019996457,-0.24305555555555555,-0.003472222222222222,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,14,14,11,61.7544228999177,,,,,,,,,61.73859419999644,61.7544228999177,0.002794099971652031,62.737527999910526,62.737527999910526,62.737527999910526,62.737527999910526,62.737527999910526,62.737527999910526,62.737527999910526,62.737527999910526,62.75453399994876,63.93852039997,0.1875,-0.21643518518518517,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,15,15,10,63.95468429999892,,,,,,,,,63.93901339999866,63.95468429999892,0.002956500044092536,64.95439349999651,64.95439349999651,64.95439349999651,64.95439349999651,64.95439349999651,64.95439349999651,64.95439349999651,64.95439349999651,64.95439349999651,65.80531809991226,0.24189814814814814,-0.04282407407407408,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,16,16,12,65.82187069999054,,,,,,,,,65.80583119997755,65.82187069999054,0.0026413999730721116,66.82154129992705,66.82154129992705,66.82154129992705,66.82154129992705,66.82154129992705,66.82154129992705,66.82154129992705,66.82154129992705,66.82154129992705,68.0225026999833,-0.01273148148148148,-0.2534722222222222,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,17,17,15,68.03833419992588,,,,,,,,,68.0230004999321,68.03833419992588,0.0026401999639347196,69.03815419995226,69.03815419995226,69.03815419995226,69.03815419995226,69.03815419995226,69.03815419995226,69.03815419995226,69.03815419995226,69.03815419995226,70.92221099999733,-0.2013888888888889,0.16898148148148148,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,18,18,8,70.93850219994783,,,,,,,,,70.92270509991795,70.93850219994783,0.0027142000617459416,71.93812469998375,71.93812469998375,71.93812469998375,71.93812469998375,71.93812469998375,71.93812469998375,71.93812469998375,71.93812469998375,71.93812469998375,72.77250229998026,0.006944444444444444,0.2361111111111111,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.1875, -0.1875)",p,0.0,0,19,19,21,72.7880109999096,,,,,,,,,72.77302899991628,72.7880109999096,0.002916299970820546,73.78819589992054,73.78819589992054,73.78819589992054,73.78819589992054,73.78819589992054,73.78819589992054,73.78819589992054,73.78819589992054,73.78819589992054,74.77267589990515,-0.1863425925925926,-0.19444444444444445,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.25, 0)",p,0.0,0,20,20,22,74.78847199992742,,,,,,,,,74.77319139998872,74.78847199992742,0.0026439999928697944,75.78845509991515,75.78845509991515,75.78845509991515,75.78845509991515,75.78845509991515,75.78845509991515,75.78845509991515,75.78845509991515,75.78845509991515,76.3558350999374,-0.25925925925925924,-0.019675925925925927,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.1875, -0.1875)",g,0.0,0,21,21,5,76.37190649996046,,,,,,,,,76.35636400000658,76.37190649996046,0.0029842000221833587,77.37150989996735,77.37150989996735,77.37150989996735,77.37150989996735,77.37150989996735,77.37150989996735,77.37150989996735,77.37150989996735,77.37150989996735,78.08958459994756,-0.20023148148148148,-0.1712962962962963,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(0.25, 0)",p,0.0,0,22,22,18,78.10469199996442,,,,,,,,,78.09008789993823,78.10469199996442,0.003093699924647808,79.10504880000371,79.10504880000371,79.10504880000371,79.10504880000371,79.10504880000371,79.10504880000371,79.10504880000371,79.10504880000371,79.10504880000371,79.80635669990443,0.24537037037037038,-0.03935185185185185,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,23,23,14,79.82204719993751,,,,,,,,,79.80690999992657,79.82204719993751,0.0026906999992206693,80.82245400000829,80.82245400000829,80.82245400000829,80.82245400000829,80.82245400000829,80.82245400000829,80.82245400000829,80.82245400000829,80.82245400000829,82.10640639998019,-0.24305555555555555,-0.015046296296296295,1,0,0,[1],triangle1,,,,,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.10683649999555,82.12176379992161,83.12233649997506,83.10563259990886,294063,001,2024-05-04_21h51.15.640,creatingimagesNEW,2024.1.1,None,2024-05-04 21h51.19.877946 -0400,
