triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,test_trial.stopped,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.017787582997698337,0.0501278750016354,1.9906022500363179,3.9912730409996584,space,1.9971702910261229,None,,,,,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
,,,,,,,,,,,,,,,,3.991306625015568,3.991607790987473,,,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(0.1875, 0.1875)",p,0.0,0,0,0,17,4.054635125037748,,,,,,,,,,,4.024776874983218,5.320917040982749,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,1,1,8,5.3277144160238095,,,,,,,,,,,5.32112658303231,6.590159500017762,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(-0.1875, -0.1875)",g,0.0,0,2,2,5,6.59684308298165,,,,,,,,,,,6.590327083016746,7.858308333030436,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(0.1875, 0.1875)",g,0.0,0,3,3,1,7.864930415991694,,,,,,,,,,,7.858486625016667,9.128414165985305,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(0, -0.25)",p,0.0,0,4,4,20,9.135512790991925,,,,,,,,,,,9.128585125028621,10.397660666028969,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(-0.25, 0)",g,0.0,0,5,5,6,10.40453520801384,,,,,,,,,,,10.397814791009296,11.666593166009989,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(0.1875, -0.1875)",p,0.0,0,6,6,19,11.673239750030916,,,,,,,,,,,11.666746250004508,12.935272999980953,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(-0.1875, -0.1875)",p,0.0,0,7,7,21,12.941831915988587,,,,,,,,,,,12.935426915995777,14.203664583037607,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,8,8,14,14.210186999989673,,,,,,,,,,,14.203814083011821,15.471810374991037,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,9,9,15,15.478224333026446,,,,,,,,,,,15.471974625019357,16.740307833009865,,,,,,,,315111,001,2024-05-06_12h43.07.586,creatingimagesNEW,2024.1.4,None,2024-05-06 12h43.14.671287 -0400,
