triangle_pos,triangle_color,pink_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.024214165983721614,0.04107029101578519,1.9884402909665368,3.932403750019148,space,1.9197609589900821,None,,,,,,,,,,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
,,,,,,,,,,,,,,,,3.9324364159838296,3.938865165982861,4.9223629999905825,6.901323082973249,space,1.9693510409560986,None,,,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0,0,0,6,7.031256375019439,,,,,,,,,,,,,,,,6.987691208021715,8.399258624995127,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.25, 0)",g,0.0,0,1,1,2,8.406229457992595,,,,,,,,,,,,,,,,8.399448290991131,9.469229708018247,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.1875, -0.1875)",p,0.0,0,2,2,3,9.475856208009645,,,,,,,,,,,,,,,,9.469419582979754,10.437935666006524,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.1875, 0.1875)",g,0.0,0,3,3,1,10.444630875019357,,,,,,,,,,,,,,,,10.4380990829668,12.596408582990989,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.25, 0)",p,0.0,0,4,4,5,12.607658082968555,,,,,,,,,,,,,,,,12.59661116602365,13.47050350002246,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0, 0.25)",g,0.0,0,5,5,0,13.47703274997184,,,,,,,,,,,,,,,,13.470678750018124,14.438788291008677,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0,6,6,7,14.445457499998156,,,,,,,,,,,,,,,,14.438959874969441,15.507979458023328,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.1875, -0.1875)",p,0.0,0,7,7,4,15.514306041004602,,,,,,,,,,,,,,,,15.5081351249828,16.67663166602142,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0,8,8,8,16.68326162500307,,,,,,,,,,,,,,,,16.67677854100475,17.645265124971047,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",1,0,9,7,17.651719874993432,,,,,,,,,,,,,,,,17.645421665976755,18.71309720800491,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.1875, -0.1875)",p,0.0,1,1,10,4,18.720121791004203,,,,,,,,,,,,,,,,18.71326541597955,19.68184829101665,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.25, 0)",g,0.0,1,2,11,2,19.688214665977284,,,,,,,,,,,,,,,,19.68199758301489,20.650370999996085,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.1875, -0.1875)",p,0.0,1,3,12,3,20.65673029096797,,,,,,,,,,,,,,,,20.650527541001793,21.718970540969167,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.25, 0)",g,"(0.25, 0)",1,4,13,8,21.72532320796745,,,,,,,,,,,,,,,,21.719133666018024,23.087470582977403,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.25, 0)",p,0.0,1,5,14,5,23.0941855830024,,,,,,,,,,,,,,,,23.08762587502133,24.256415124982595,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0, 0.25)",g,0.0,1,6,15,0,24.26402408297872,,,,,,,,,,,,,,,,24.256589374970645,25.33322358300211,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.1875, 0.1875)",g,0.0,1,7,16,1,25.33979683299549,,,,,,,,,,,,,,,,25.33340133301681,26.401758374995552,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",1,8,17,6,26.408542082994245,,,,,,,,,,,,,,,,26.401912875007838,27.470482082979288,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.25, 0)",g,"(0.25, 0)",2,0,18,8,27.47701633296674,,,,,,,,,,,,,,,,27.470636582991574,28.63992425001925,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.1875, -0.1875)",p,0.0,2,1,19,3,28.646706582978368,,,,,,,,,,,,,,,,28.640083083009813,29.708260875020642,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",2,2,20,7,29.71484962501563,,,,,,,,,,,,,,,,29.70840733300429,30.776881082972977,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.1875, 0.1875)",g,0.0,2,3,21,1,30.783967625000514,,,,,,,,,,,,,,,,30.777037457970437,31.845794041000772,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0, 0.25)",g,0.0,2,4,22,0,31.852355082985014,,,,,,,,,,,,,,,,31.845949708018452,32.91378954099491,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.25, 0)",g,0.0,2,5,23,2,32.9205782909994,,,,,,,,,,,,,,,,32.91396041598637,34.18308699998306,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.25, 0)",p,0.0,2,6,24,5,34.18985716596944,,,,,,,,,,,,,,,,34.18324795801891,35.35276045801584,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(-0.1875, -0.1875)",p,0.0,2,7,25,4,35.359110874996986,,,,,,,,,,,,,,,,35.352927749976516,36.52122245798819,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",2,8,26,6,36.527691124996636,,,,,,,,,,,,,,,,36.52137450000737,38.090336499968544,,,511480,001,2024-05-09_12h53.02.876,creatingimagesNEW,2024.1.4,None,2024-05-09 12h53.11.646612 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,38.090491875016596,38.10107375000371,,,,,,,,
