triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.015806208015419543,0.02880470803938806,1.9938776250346564,4.26243995805271,space,2.263619582983665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,0,0,8,4.31352850003168,,,,,,,,,4.282903292041738,6.578094750002492,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(-0.25, 0)",g,0.0,0,1,1,6,6.586837958020624,,,,,,,,,6.578253083047457,7.849590458034072,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(0, 0.25)",g,0.0,0,2,2,0,7.856323958025314,,,,,,,,,7.849742875027005,9.11884466704214,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(0, -0.25)",p,0.0,0,3,3,20,9.125639958016109,,,,,,,,,9.119003708008677,10.387724667030852,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(-0.25, 0)",p,0.0,0,4,4,22,10.394279166997876,,,,,,,,,10.387877458008006,11.656483708007727,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(-0.1875, 0.1875)",g,0.0,0,5,5,7,11.662913833046332,,,,,,,,,11.65663470805157,13.925440874998458,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,6,6,13,13.933908750012051,,,,,,,,,13.925596333050635,15.196119667030871,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(0.1875, -0.1875)",g,0.0,0,7,7,3,15.20254179200856,,,,,,,,,15.196273917041253,16.4646267920034,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,8,8,15,16.471445875009522,,,,,,,,,16.464819750050083,17.734240792051423,,,,,,,,,,,,,,,,,,,,,,,,,,575965,001,2024-05-05_23h22.41.786,creatingimagesNEW,2024.1.4,None,2024-05-05 23h22.48.199203 -0400,
