triangle_pos,triangle_color,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,Real_Trials.started,Real_Trials.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.018637599889189005,0.03795129992067814,2.005224199965596,2.0074151000007987,space,1.899055999936536,None,,,,,,,,,,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
,,,,,,,,,,,,,,,,,,,,,2.0074658000376076,2.021586899878457,3.0219036999624223,3.0399136999621987,space,3.037212499883026,None,,,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(0, -0.25)",g,0.0,"(0.1875, 0.1875)",0,0,0,36,,,,,3.269301400054246,,,,,,,,,,,,,,,,3.0485058000776917,4.044955800054595,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(-0.25, 0)",b,0.0,0.0,0,1,1,46,,,,,4.252371300011873,,,,,,,,,,,,,,,,4.045257699908689,4.923648600000888,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(0.25, 0)",r,"(-0.1875, 0.1875)",0.0,0,2,2,26,,,,,5.135814900044352,,,,,,,,,,,,,,,,4.923983399989083,5.910540800075978,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(-0.25, 0)",b,0.0,"(0.1875, -0.1875)",0,3,3,54,,,,,6.135898699983954,,,,,,,,,,,,,,,,5.910882099997252,6.810556099982932,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(0.25, 0)",g,"(-0.1875, 0.1875)",0.0,0,4,4,10,,,,,7.019588500028476,,,,,,,,,,,,,,,,6.810863999882713,7.793766299961135,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(0, 0.25)",g,0.0,"(-0.1875, -0.1875)",0,5,5,32,,,,,8.003295500064269,,,,,,,,,,,,,,,,7.794123400002718,8.674473899882287,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(-0.1875, 0.1875)",b,0.0,"(0.25, 0)",0,6,6,55,,,,,8.885942799970508,,,,,,,,,,,,,,,,8.674819400068372,9.558625600067899,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
"(0, 0.25)",r,0.0,0.0,0,7,7,16,,,,,9.769452099921182,,,,,,,,,,,,,,,,9.558920499868691,10.442706400062889,,,,,,,,,,642993,001,2024-05-10_12h44.24.202,creatingimagesNEW,2024.1.1,None,2024-05-10 12h44.31.502045 -0400,
