thisRow.t,notes,WelcomePage.started,textWelcomeMessage.started,key_resp.started,WelcomePage.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions.started,textInstructions.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,image1_1.started,greencircle1.started,greencircle2.started,greencircle3.started,greencircle4.started,greencircle5.started,greencircle6.started,greencircle7.started,greentriangle.started,image1_1.stopped,image1_2.started,greencircle1_2.started,greencircle2_2.started,greencircle3_2.started,greencircle4_2.started,greencircle5_2.started,greencircle6_2.started,greencircle7_2.started,greentriangle_2.started,image1_2.stopped,image1_3.started,greencircle1_3.started,greencircle2_3.started,greencircle3_3.started,greencircle4_3.started,greencircle5_3.started,greencircle6_3.started,greencircle7_3.started,greentriangle_3.started,image1_3.stopped,image1_4.started,greencircle1_6.started,greencircle2_6.started,greencircle3_6.started,greencircle4_6.started,greencircle5_6.started,greencircle6_6.started,greencircle7_4.started,greentriangle_5.started,image1_4.stopped,image1_5.started,greencircle1_7.started,greencircle2_7.started,greencircle3_7.started,greencircle4_7.started,greencircle5_7.started,greencircle6_7.started,greencircle7_6.started,greentriangle_6.started,image1_5.stopped,image1_6.started,greencircle1_8.started,greencircle2_8.started,greencircle3_8.started,greencircle4_8.started,greencircle5_8.started,greencircle6_8.started,greencircle7_7.started,greentriangle_7.started,image1_6.stopped,image1_7.started,greencircle1_9.started,greencircle2_9.started,greencircle3_9.started,greencircle4_9.started,greencircle5_9.started,greencircle6_9.started,greencircle7_8.started,greentriangle_8.started,image1_7.stopped,image1_8.started,greencircle1_10.started,greencircle2_10.started,greencircle3_10.started,greencircle4_10.started,greencircle5_10.started,greencircle6_10.started,greencircle7_9.started,greentriangle_9.started,image1_8.stopped,image1_9.started,greencircle1_11.started,greencircle2_11.started,greencircle3_11.started,greencircle4_11.started,greencircle5_11.started,greencircle6_11.started,greencircle7_10.started,greentriangle_10.started,image1_9.stopped,image1_10.started,greencircle1_12.started,greencircle2_12.started,greencircle3_12.started,greencircle4_12.started,greencircle5_12.started,greencircle6_12.started,greencircle7_11.started,greentriangle_11.started,image1_10.stopped,image2_1.started,greencircle1_4.started,greencircle2_4.started,greencircle3_4.started,greencircle4_4.started,greencircle5_4.started,greencircle6_4.started,pinkcircle.started,greentriangle_4.started,image2_1.stopped,image3_1.started,greencircle1_5.started,greencircle2_5.started,greencircle3_5.started,greencircle4_5.started,greencircle5_5.started,greencircle6_5.started,pinktriangle.started,greencircle7_5.started,image3_1.stopped,image3_2.started,greencircle1_13.started,greencircle2_13.started,greencircle3_13.started,greencircle4_13.started,greencircle5_13.started,greencircle6_13.started,pinktriangle_2.started,greencircle7_12.started,image3_2.stopped,image3_3.started,greencircle1_14.started,greencircle2_14.started,greencircle3_14.started,greencircle4_14.started,greencircle5_14.started,greencircle6_14.started,pinktriangle_3.started,greencircle7_13.started,image3_3.stopped,image3_4.started,greencircle1_15.started,greencircle2_15.started,greencircle3_15.started,greencircle4_15.started,greencircle5_15.started,greencircle6_15.started,pinktriangle_4.started,greencircle7_14.started,image3_4.stopped,image3_5.started,greencircle1_16.started,greencircle2_16.started,greencircle3_16.started,greencircle4_16.started,greencircle5_16.started,greencircle6_16.started,pinktriangle_5.started,greencircle7_15.started,image3_5.stopped,image3_6.started,greencircle1_17.started,greencircle2_17.started,greencircle3_17.started,greencircle4_17.started,greencircle5_17.started,greencircle6_17.started,pinktriangle_6.started,greencircle7_16.started,image3_6.stopped,image3_7.started,greencircle1_18.started,greencircle2_18.started,greencircle3_18.started,greencircle4_18.started,greencircle5_18.started,greencircle6_18.started,pinktriangle_7.started,greencircle7_17.started,image3_7.stopped,image3_8.started,greencircle1_19.started,greencircle2_19.started,greencircle3_19.started,greencircle4_19.started,greencircle5_19.started,greencircle6_19.started,pinktriangle_8.started,greencircle7_18.started,image3_8.stopped,image3_9.started,greencircle1_20.started,greencircle2_20.started,greencircle3_20.started,greencircle4_20.started,greencircle5_20.started,greencircle6_20.started,pinktriangle_9.started,greencircle7_19.started,image3_9.stopped,image3_10.started,greencircle1_21.started,greencircle2_21.started,greencircle3_21.started,greencircle4_21.started,greencircle5_21.started,greencircle6_21.started,pinktriangle_10.started,greencircle7_20.started,image3_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.046891916997992666,0.06612454199785134,0.06612454199785134,1.5842853329995705,space,1.5596078329981538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,1.584327458000189,1.6183806669978367,1.6183806669978367,5.65572258300017,space,5.652685166998708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,5.655742957998882,5.677295082998171,5.677295082998171,5.677295082998171,5.677295082998171,5.677295082998171,5.677295082998171,5.677295082998171,5.677295082998171,6.6387043750000885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.63872283299861,6.648770499999955,6.648770499999955,6.648770499999955,6.648770499999955,6.648770499999955,6.648770499999955,6.648770499999955,6.648770499999955,7.6222974579977745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.622316666998813,7.632598332998896,7.632598332998896,7.632598332998896,7.632598332998896,7.632598332998896,7.632598332998896,7.632598332998896,7.632598332998896,8.605990624997503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.606008832997759,8.615714916999423,8.615714916999423,8.615714916999423,8.615714916999423,8.615714916999423,8.615714916999423,8.615714916999423,8.615714916999423,9.599174749997474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.59920216699902,9.605428082999424,9.605428082999424,9.605428082999424,9.605428082999424,9.605428082999424,9.605428082999424,9.605428082999424,9.605428082999424,10.58282324999891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.582839999999123,10.58954950000043,10.58954950000043,10.58954950000043,10.58954950000043,10.58954950000043,10.58954950000043,10.58954950000043,10.58954950000043,11.565993207997963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.566011291997711,11.571886124998855,11.571886124998855,11.571886124998855,11.571886124998855,11.571886124998855,11.571886124998855,11.571886124998855,11.571886124998855,12.549902541999472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.549922750000405,12.55717758299943,12.55717758299943,12.55717758299943,12.55717758299943,12.55717758299943,12.55717758299943,12.55717758299943,12.55717758299943,13.53270558299846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719771,001,2024-04-29_12h48.34.680,searchArrayTrial,2024.1.1,None,2024-04-29 12h48.42.415285 -0400,
