triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.02399391698418185,0.03336391702760011,1.9967992500169203,4.737225458025932,space,2.7341494589927606,None,,,,,,,,,,,,,,,,,,,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,0,0,9,4.806178166996688,,,,,,,,,4.784253542020451,0.05362950003473088,5.748909250018187,5.748909250018187,5.748909250018187,5.748909250018187,5.748909250018187,5.748909250018187,5.748909250018187,5.748909250018187,6.756464458012488,0.17708333333333334,0.1574074074074074,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,1,1,11,6.766168583009858,,,,,,,,,6.757402374991216,0.004359999962616712,7.7627855419996195,7.7627855419996195,7.7627855419996195,7.7627855419996195,7.7627855419996195,7.7627855419996195,7.7627855419996195,7.7627855419996195,8.687367375008762,0.18171296296296297,-0.21412037037037038,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,2,2,14,8.712648916989565,,,,,,,,,8.688069958006963,0.004630791023373604,9.696748458023649,9.696748458023649,9.696748458023649,9.696748458023649,9.696748458023649,9.696748458023649,9.696748458023649,9.696748458023649,10.604181958013214,-0.22916666666666666,-0.02199074074074074,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,3,3,15,10.629617625032552,,,,,,,,,10.604816500039306,0.0045161250163801014,11.612447082996368,11.612447082996368,11.612447082996368,11.612447082996368,11.612447082996368,11.612447082996368,11.612447082996368,11.612447082996368,12.370842874981463,-0.16550925925925927,0.16666666666666666,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.1875, 0.1875)",p,0.0,0,4,4,23,12.396468207996804,,,,,,,,,12.371505125018302,0.004510709026362747,13.380446917028166,13.380446917028166,13.380446917028166,13.380446917028166,13.380446917028166,13.380446917028166,13.380446917028166,13.380446917028166,14.154448417015374,-0.17592592592592593,0.16550925925925927,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.1875, -0.1875)",p,0.0,0,5,5,21,14.179671375022735,,,,,,,,,14.155085917038377,0.004465167003218085,15.162627124984283,15.162627124984283,15.162627124984283,15.162627124984283,15.162627124984283,15.162627124984283,15.162627124984283,15.162627124984283,15.95471883303253,-0.1886574074074074,-0.20023148148148148,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,6,6,8,15.979857042024378,,,,,,,,,15.955370749987196,0.0044531249441206455,16.96365491702454,16.96365491702454,16.96365491702454,16.96365491702454,16.96365491702454,16.96365491702454,16.96365491702454,16.96365491702454,17.671325125033036,0.01273148148148148,0.2604166666666667,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0, -0.25)",g,0.0,0,7,7,4,17.697064042033162,,,,,,,,,17.671958249993622,0.00455391698051244,18.680231207981706,18.680231207981706,18.680231207981706,18.680231207981706,18.680231207981706,18.680231207981706,18.680231207981706,18.680231207981706,19.62145158299245,0.016203703703703703,-0.2488425925925926,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.1875, -0.1875)",g,0.0,0,8,8,3,19.64660408301279,,,,,,,,,19.62210379203316,0.004492165986448526,20.6302714170306,20.6302714170306,20.6302714170306,20.6302714170306,20.6302714170306,20.6302714170306,20.6302714170306,20.6302714170306,21.55459025001619,0.1724537037037037,-0.1736111111111111,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
