triangle_pos,triangle_color,pink_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test_trial.started,test_trial.stopped,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.007250400027260184,0.024892000015825033,2.0092266000574455,2.0453171000117436,space,2.0432674000039697,None,,,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0, 0.25)",g,0.0,0,0,0,0,,,,,2.0585433000233024,,,,,,,,,2.0518492000410333,6.312801699968986,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.1875, -0.1875)",p,0.0,0,1,1,3,,,,,6.324259400018491,,,,,,,,,6.31319060001988,7.575075999950059,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.25, 0)",g,"(0.25, 0)",0,2,2,8,,,,,7.591100999969058,,,,,,,,,7.5753500000573695,12.813902899972163,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.1875, -0.1875)",p,0.0,0,3,3,4,,,,,12.824524200055748,,,,,,,,,12.814389699953608,14.077506999950856,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.25, 0)",g,0.0,0,4,4,2,,,,,14.091212400002405,,,,,,,,,14.077979500056244,16.344358199974522,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.1875, 0.1875)",g,0.0,0,5,5,1,,,,,16.35790000006091,,,,,,,,,16.34474730002694,17.608881899970584,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",0,6,6,7,,,,,17.626204399974085,,,,,,,,,17.609224600018933,18.84274800005369,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.25, 0)",p,0.0,0,7,7,5,,,,,18.858790299971588,,,,,,,,,18.843073399970308,21.12753800000064,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",0,8,8,6,,,,,21.14171360002365,,,,,,,,,21.12783260003198,22.360586300026625,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.25, 0)",p,0.0,1,0,9,5,,,,,22.375295700039715,,,,,,,,,22.360854599974118,24.62857719999738,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",1,1,10,7,,,,,24.642543000052683,,,,,,,,,24.628962100017816,25.876442400040105,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0, 0.25)",g,0.0,1,2,11,0,,,,,25.892391699948348,,,,,,,,,25.87686690001283,27.14466640003957,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.25, 0)",g,0.0,1,3,12,2,,,,,27.158635400002822,,,,,,,,,27.144873399985954,28.40980739996303,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.1875, 0.1875)",g,0.0,1,4,13,1,,,,,28.425751599948853,,,,,,,,,28.410146999987774,29.67592089995742,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.25, 0)",g,"(0.25, 0)",1,5,14,8,,,,,29.693199899978936,,,,,,,,,29.676296700024977,31.911643099971116,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.1875, -0.1875)",p,0.0,1,6,15,4,,,,,31.92570170003455,,,,,,,,,31.912066300050355,33.177016800036654,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",1,7,16,6,,,,,33.19245830003638,,,,,,,,,33.17746999999508,35.410006499965675,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.1875, -0.1875)",p,0.0,1,8,17,3,,,,,35.42580289999023,,,,,,,,,35.41034699999727,36.67728169995826,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.1875, 0.1875)",g,0.0,2,0,18,1,,,,,36.69317660003435,,,,,,,,,36.67769329994917,38.945439800038,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",2,1,19,7,,,,,38.95971359999385,,,,,,,,,38.9458746999735,40.194812900037505,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(-0.25, 0)",p,0.0,2,2,20,5,,,,,40.20948560000397,,,,,,,,,40.19526589999441,41.46028690005187,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.25, 0)",g,0.0,2,3,21,2,,,,,41.47596159996465,,,,,,,,,41.46047509997152,42.72722839994822,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",2,4,22,6,,,,,42.743234600056894,,,,,,,,,42.7275515999645,43.960460799979046,,,,,,812433,001,2024-05-06_17h02.02.874,creatingimagesNEW,2024.1.1,None,2024-05-06 17h02.08.396823 -0400,
