triangle_pos,triangle_color,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.018761100014671683,0.036970100132748485,2.005103199975565,2.089816400082782,space,2.0873688000719994,None,,,,,,,,,,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
,,,,,,,,,,,,,,,,,2.089863399975002,2.104420799994841,3.1051980000920594,3.5066392000298947,space,3.5037481000181288,None,,,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0.1875, -0.1875)",b,0.0,0.0,0,0,0,43,3.535435900092125,,,,,,,,,,,,,,,,3.5160060001071543,5.311444099992514,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(-0.25, 0)",g,0.0,"(0.1875, -0.1875)",0,1,1,38,5.318477699998766,,,,,,,,,,,,,,,,5.311816700035706,6.278332900023088,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(-0.1875, 0.1875)",r,"(0.25, 0)",0.0,0,2,2,31,6.285202000057325,,,,,,,,,,,,,,,,6.278731600148603,7.06142759998329,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0.1875, -0.1875)",r,"(-0.25, 0)",0.0,0,3,3,27,7.069047800032422,,,,,,,,,,,,,,,,7.06173130008392,7.928095899987966,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0, -0.25)",b,0.0,0.0,0,4,4,44,7.93572000018321,,,,,,,,,,,,,,,,7.928382000187412,8.593063400126994,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(-0.25, 0)",r,0.0,0.0,0,5,5,22,8.602388500003144,,,,,,,,,,,,,,,,8.593374000163749,9.273953100200742,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0, 0.25)",g,0.0,0.0,0,6,6,0,9.285529300104827,,,,,,,,,,,,,,,,9.27420820016414,9.942525900201872,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0.1875, 0.1875)",r,0.0,0.0,0,7,7,17,9.952111300081015,,,,,,,,,,,,,,,,9.942969999974594,10.624595500063151,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0.25, 0)",g,0.0,"(-0.1875, 0.1875)",0,8,8,34,10.6357774999924,,,,,,,,,,,,,,,,10.62490739999339,11.608432200038806,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0, 0.25)",b,0.0,"(-0.1875, -0.1875)",0,9,9,48,11.619144800119102,,,,,,,,,,,,,,,,11.60876790015027,12.291962000075728,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0.0,0,10,10,14,12.302788600092754,,,,,,,,,,,,,,,,12.292442600009963,13.175088700139895,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0.0,0,11,11,9,13.185884300153702,,,,,,,,,,,,,,,,13.175398200051859,13.761959200026467,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(0.1875, 0.1875)",b,0.0,0.0,0,12,12,41,13.769231300102547,,,,,,,,,,,,,,,,13.762291300110519,14.62637670012191,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
"(-0.1875, 0.1875)",g,0.0,0.0,0,13,13,7,14.635896700201556,,,,,,,,,,,,,,,,14.62684450019151,23.71188890002668,823320,001,2024-05-10_12h40.00.371,creatingimagesNEW,2024.1.1,None,2024-05-10 12h40.04.571626 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,23.712218899978325,,,,,,,,,
