triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.028865000000223517,0.04964879195904359,1.9970918749459088,3.5575056249508634,space,1.5532917089876719,None,,,,,,,,,,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
,,,,,,,,,,,,,,,,,,,,,,3.5575502919964492,3.578639333951287,4.556153624958824,6.082256208988838,space,1.5244768749689683,None,,,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(-0.25, 0)",p,0.0,,,0,0,0,5,,,,,6.171188458974939,,,,,,,,,,,,,,,,6.154622374975588,7.138314166979399,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(0, 0.25)",g,0.0,,,0,1,1,0,,,,,7.1448677919688635,,,,,,,,,,,,,,,,7.138481999980286,8.00634954200359,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,2,2,8,,,,,8.013164167001378,,,,,,,,,,,,,,,,8.00650554196909,9.174969041952863,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,3,3,6,,,,,9.181540749967098,,,,,,,,,,,,,,,,9.175127666967455,10.243590208992828,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(0.25, 0)",g,0.0,,,0,4,4,2,,,,,10.25007408397505,,,,,,,,,,,,,,,,10.243755999952555,11.411879874998704,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,5,5,7,,,,,11.4184855420026,,,,,,,,,,,,,,,,11.412038624985144,12.480018749949522,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,6,6,4,,,,,12.48666333395522,,,,,,,,,,,,,,,,12.480190583970398,13.448114291997626,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
"(0.1875, -0.1875)",p,0.0,,,0,7,7,3,,,,,13.454624874982983,,,,,,,,,,,,,,,,13.448282291996293,14.415958208963275,,,,,,,,,,,,,,,,,851771,001,2024-05-08_13h15.10.301,creatingimagesNEW,2024.1.4,None,2024-05-08 13h15.16.459232 -0400,
