triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.025402874976862222,0.03471858298871666,1.998291458003223,11.621371040993836,space,9.590603082964662,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,0,0,15,11.701417958014645,,,,,,,,,11.663899458013475,11.701417958014645,0.04822962498292327,12.623529415985104,12.623529415985104,12.623529415985104,12.623529415985104,12.623529415985104,12.623529415985104,12.623529415985104,12.623529415985104,12.700585625017993,14.916752207966056,-0.17708333333333334,0.16087962962962962,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,1,1,13,14.92864220798947,,,,,,,,,14.91772020800272,14.92864220798947,0.004498332971706986,15.924382374971174,15.924382374971174,15.924382374971174,15.924382374971174,15.924382374971174,15.924382374971174,15.924382374971174,15.924382374971174,15.934345499961637,16.849763665988576,-0.17476851851851852,-0.21412037037037038,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,2,2,11,16.875896624987945,,,,,,,,,16.850408583006356,16.875896624987945,0.004462624958250672,17.85564541601343,17.85564541601343,17.85564541601343,17.85564541601343,17.85564541601343,17.85564541601343,17.85564541601343,17.85564541601343,17.87531425000634,18.667208458005916,0.1840277777777778,-0.1875,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.1875, -0.1875)",g,0.0,0,3,3,5,18.67918095801724,,,,,,,,,18.667905749985948,18.67918095801724,0.0045168750220909715,19.673069500015117,19.673069500015117,19.673069500015117,19.673069500015117,19.673069500015117,19.673069500015117,19.673069500015117,19.673069500015117,19.682099458004814,20.9337124999729,-0.18055555555555555,-0.1863425925925926,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.25, 0)",p,0.0,0,4,4,18,20.959194707975257,,,,,,,,,20.93438879097812,20.959194707975257,0.004405915969982743,21.938825124991126,21.938825124991126,21.938825124991126,21.938825124991126,21.938825124991126,21.938825124991126,21.938825124991126,21.938825124991126,21.95929183298722,22.8508515409776,0.23842592592592593,-0.020833333333333332,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.1875, -0.1875)",p,0.0,0,5,5,19,22.863133125007153,,,,,,,,,22.85148383298656,22.863133125007153,0.0044712909730151296,23.857391458004713,23.857391458004713,23.857391458004713,23.857391458004713,23.857391458004713,23.857391458004713,23.857391458004713,23.857391458004713,23.86712454096414,24.684024457994383,0.18287037037037038,-0.1863425925925926,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.1875, -0.1875)",g,0.0,0,6,6,3,24.696508415974677,,,,,,,,,24.684679833007976,24.696508415974677,0.004548083001282066,25.689909957989585,25.689909957989585,25.689909957989585,25.689909957989585,25.689909957989585,25.689909957989585,25.689909957989585,25.689909957989585,25.698841791017912,26.917554207961075,0.18171296296296297,-0.20601851851851852,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0, 0.25)",p,0.0,0,7,7,16,26.92918220796855,,,,,,,,,26.918235624965746,26.92918220796855,0.0044745830236934125,27.923923166003078,27.923923166003078,27.923923166003078,27.923923166003078,27.923923166003078,27.923923166003078,27.923923166003078,27.923923166003078,27.933421165973414,29.200642915966455,-0.003472222222222222,0.21180555555555555,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0, -0.25)",g,0.0,0,8,8,4,29.22608604101697,,,,,,,,,29.20130870799767,29.22608604101697,0.004539916990324855,30.20760062499903,30.20760062499903,30.20760062499903,30.20760062499903,30.20760062499903,30.20760062499903,30.20760062499903,30.20760062499903,30.243280124966986,30.917587290983647,-0.005787037037037037,-0.22800925925925927,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.25, 0)",g,0.0,0,9,9,6,30.92990191600984,,,,,,,,,30.918267790984828,30.92990191600984,0.00450029200874269,31.92386629100656,31.92386629100656,31.92386629100656,31.92386629100656,31.92386629100656,31.92386629100656,31.92386629100656,31.92386629100656,31.933276875002775,32.61757908301661,-0.24074074074074073,-0.028935185185185185,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.1875, 0.1875)",g,0.0,0,10,10,7,32.63026412500767,,,,,,,,,32.618248915998265,32.63026412500767,0.004500624956563115,33.623602083011065,33.623602083011065,33.623602083011065,33.623602083011065,33.623602083011065,33.623602083011065,33.623602083011065,33.623602083011065,33.63289666600758,34.468027625000104,-0.1597222222222222,0.16087962962962962,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.1875, 0.1875)",g,0.0,0,11,11,1,34.480171416013036,,,,,,,,,34.46869291597977,34.480171416013036,0.0044539159862324595,35.472992499999236,35.472992499999236,35.472992499999236,35.472992499999236,35.472992499999236,35.472992499999236,35.472992499999236,35.472992499999236,35.481234707986005,36.28444262500852,0.16550925925925927,0.15393518518518517,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0, 0.25)",g,0.0,0,12,12,0,36.297034207964316,,,,,,,,,36.285104166017845,36.297034207964316,0.004446375009138137,37.28962833300466,37.28962833300466,37.28962833300466,37.28962833300466,37.28962833300466,37.28962833300466,37.28962833300466,37.28962833300466,37.29782591597177,38.06767575000413,0.008101851851851851,0.21296296296296297,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
