triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.026854499999899417,0.044084332999773324,1.9943844160297886,4.086760708014481,space,2.0890398750198074,None,,,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,0,0,12,4.185646791011095,,,,,,,,,4.131500333023723,5.451500166032929,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,1,1,11,5.458071375032887,,,,,,,,,5.451658083009534,6.720322041015606,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.25, 0)",g,0.0,0,2,2,2,6.727021333004814,,,,,,,,,6.720476415997837,7.988844249979593,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(-0.1875, 0.1875)",g,0.0,0,3,3,7,7.995599457994103,,,,,,,,,7.9890044159838,9.256793665990699,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.1875, 0.1875)",p,0.0,0,4,4,17,9.263333207985852,,,,,,,,,9.256937291007489,10.525142875034362,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0, 0.25)",g,0.0,0,5,5,0,10.531672540993895,,,,,,,,,10.525295957981143,11.793445457995404,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.25, 0)",p,0.0,0,6,6,18,11.799877208017278,,,,,,,,,11.793590540997684,13.061627958028112,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,7,7,9,13.068220666027628,,,,,,,,,13.061778625007719,14.329850582988001,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0, -0.25)",g,0.0,0,8,8,4,14.336399040999822,,,,,,,,,14.329996499989647,15.598196082981303,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.1875, 0.1875)",g,0.0,0,9,9,1,15.604764999996405,,,,,,,,,15.598342165991198,16.86674716603011,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(-0.25, 0)",g,0.0,0,10,10,6,16.87360541598173,,,,,,,,,16.866907707997598,18.135287582990713,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,11,11,8,18.14177779102465,,,,,,,,,18.135433208022732,19.403445457981434,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(-0.1875, -0.1875)",g,0.0,0,12,12,5,19.410287207982037,,,,,,,,,19.40360075002536,20.671925665985327,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(-0.1875, -0.1875)",p,0.0,0,13,13,21,20.67839133302914,,,,,,,,,20.672071832988877,22.940092500008177,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0, -0.25)",p,0.0,0,14,14,20,22.950488375034183,,,,,,,,,22.940245040983427,24.212179791007657,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
"(0.1875, -0.1875)",p,0.0,0,15,15,19,24.219035166024696,,,,,,,,,24.21233404101804,26.480752790987026,,,,,,,,957417,001,2024-05-06_00h06.05.309,creatingimagesNEW,2024.1.4,None,2024-05-06 00h06.13.314415 -0400,
