triangle_pos,triangle_color,pink_circle_pos,red_circle_pos,blue_circle_pos,test_trial_before_experiment.thisRepN,test_trial_before_experiment.thisTrialN,test_trial_before_experiment.thisN,test_trial_before_experiment.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Test_Trial_routine_instructions.started,text.started,key_resp_3.started,Test_Trial_routine_instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trial.started,test_trial.stopped,Actual_Trial_Instructions.started,actual_trial_intructions.started,key_resp_4.started,Actual_Trial_Instructions.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,code_attempt.started,code_attempt.stopped,End_Routine.started,End_Text.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,0.024339750001672655,0.04339183302363381,1.9951720000244677,2.488766750029754,space,0.48750712495530024,None,,,,,,,,,,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
,,,,,,,,,,,,,,,,,,,,,,2.4888261249870993,2.513706792029552,3.485842042020522,3.637943833018653,space,0.14757641695905477,None,,,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(0, 0.25)",g,0.0,,,0,0,0,0,,,,,3.738530875009019,,,,,,,,,,,,,,,,3.7200330829946324,4.606356083007995,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(0.25, 0)",g,"(-0.1875, -0.1875)",,,0,1,1,6,,,,,4.61311645800015,,,,,,,,,,,,,,,,4.606542833033018,5.6751307080267,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(-0.1875, 0.1875)",g,"(-0.25, 0)",,,0,2,2,7,,,,,5.68141854199348,,,,,,,,,,,,,,,,5.675284249999095,6.6444903329829685,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(0.1875, 0.1875)",g,0.0,,,0,3,3,1,,,,,6.651812417025212,,,,,,,,,,,,,,,,6.6446726670255885,7.614295250037685,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(0.1875, -0.1875)",p,0.0,,,0,4,4,3,,,,,7.62085449998267,,,,,,,,,,,,,,,,7.614454917027615,8.683368167025037,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(-0.1875, -0.1875)",p,0.0,,,0,5,5,4,,,,,8.690180832985789,,,,,,,,,,,,,,,,8.683535207994282,9.65240800002357,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(-0.25, 0)",p,0.0,,,0,6,6,5,,,,,9.659392292029224,,,,,,,,,,,,,,,,9.652572542021517,10.621684583020397,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
"(-0.25, 0)",g,"(0.25, 0)",,,0,7,7,8,,,,,10.6284801249858,,,,,,,,,,,,,,,,10.621836500009522,11.69104879203951,,,,,,,,,,,,,958920,001,2024-05-08_12h38.01.865,creatingimagesNEW,2024.1.4,None,2024-05-08 12h38.08.146555 -0400,
